project,previous_name,permittee,subwatershed,project_type,description,latitude,longitude,required_completion_date,actual_completion_date,capital_costs,cum_om_costs,funding_sources,project_footprint,drainage,projected_storage_capacity,actual_storage_24,actual_storage,cum_volume,WMG,Latitude,Longitude,cum_volume_raw,cum_volume_clean
2008 Clark Lane_GS project,Residential Street Rehab,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.866067000000001,-118.376087,43983,2020-06-01T00:00:00Z,40000,25500,Municipal General Fund,0.00 ac,4.80 ac,Not Applicable,0.84 ac-ft,0.01 ac-ft,2.306143,Beach Cities,33.866067,-118.376087,2.3061430000000001,2.3061430000000001
2200 bk Plant_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.880892000000003,-118.370152,44293,2021-04-07T00:00:00Z,10000,30000,Municipal General Fund,0.00 ac,2.90 ac,Not Applicable,0.04 ac-ft,0.03 ac-ft,1.140268,Beach Cities,33.880892,-118.370152,1.1402680000000001,1.1402680000000001
2200 bk Slauson_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.869444000000001,-118.370547,44293,2021-04-07T00:00:00Z,22000,30000,Municipal General Fund,0.00 ac,0.19 ac,Not Applicable,0.12 ac-ft,0.10 ac-ft,0.580383,Beach Cities,33.869444,-118.370547,0.58038299999999998,0.58038299999999998
2218 Margaret Ct_GS project,Residential Street Rehab,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.860832000000002,-118.370784,43983,2020-06-01T00:00:00Z,40000,25500,Municipal General Fund,0.00 ac,7.20 ac,Not Applicable,0.84 ac-ft,0.01 ac-ft,2.478858,Beach Cities,33.860832,-118.370784,2.4788579999999998,2.4788579999999998
2300 bk Mackay Ln_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.876419830000003,-118.3684039,44293,2021-04-07T00:00:00Z,17000,30000,Municipal General Fund,0.00 ac,0.50 ac,Not Applicable,0.09 ac-ft,0.07 ac-ft,1.318086,Beach Cities,33.87641983,-118.3684039,1.3180860000000001,1.3180860000000001
2421 Marshallfield Ln_GS project,Residential Street Rehab,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.865264000000003,-118.366542,43983,2020-06-01T00:00:00Z,40000,25500,Municipal General Fund,0.00 ac,7.70 ac,Not Applicable,0.84 ac-ft,0.01 ac-ft,2.502774,Beach Cities,33.865264,-118.366542,2.5027740000000001,2.5027740000000001
2500 bk_ Santa Fe Street_GS project,Santa Fe Street,Redondo Beach,Dominguez Channel,Infiltration Well,Green street,33.889831999999998,-118.366989,43497,2019-02-01T00:00:00Z,72000,30500,Municipal General Fund,0.00 ac,61.00 ac,Not Applicable,0.89 ac-ft,0.01 ac-ft,5.377744,Beach Cities,33.889832,-118.366989,5.3777439999999999,5.3777439999999999
2600 bk Beland_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.882680000000001,-118.36459600000001,44293,2021-04-07T00:00:00Z,17000,30000,Municipal General Fund,0.00 ac,5.15 ac,Not Applicable,0.09 ac-ft,0.07 ac-ft,2.45721,Beach Cities,33.88268,-118.364596,2.4572099999999999,2.4572099999999999
2606 182nd Street,Residential Street Rehab,Redondo Beach,Santa Monica Bay,"Green Street, Bioretention",Green street,33.865462000000001,-118.36233300000001,44293,2021-04-07T00:00:00Z,15000,30000,Municipal General Fund,0.00 ac,11.09 ac,Not Applicable,0.09 ac-ft,0.07 ac-ft,2.400609,Beach Cities,33.865462,-118.362333,2.4006090000000002,2.4006090000000002
2607 182nd Street,Residential Street Rehab,Redondo Beach,Santa Monica Bay,"Green Street, Bioretention",Green street,33.865611000000001,-118.36236599999999,44293,2021-04-07T00:00:00Z,15000,30000,Municipal General Fund,0.00 ac,8.16 ac,Not Applicable,0.09 ac-ft,0.07 ac-ft,2.305193,Beach Cities,33.865611,-118.362366,2.305193,2.305193
3400 bk Rindge Ln_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.886130000000001,-118.372754,44293,2021-04-07T00:00:00Z,10000,30000,Municipal General Fund,0.00 ac,8.70 ac,Not Applicable,0.05 ac-ft,0.04 ac-ft,1.492453,Beach Cities,33.88613,-118.372754,1.492453,1.492453
3500 bk Rindge Ln_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.886839000000002,-118.37280199999999,44293,2021-04-07T00:00:00Z,10000,30000,Municipal General Fund,0.00 ac,0.36 ac,Not Applicable,0.06 ac-ft,0.05 ac-ft,0.872447,Beach Cities,33.886839,-118.372802,0.87244699999999997,0.87244699999999997
3700 bk_Doolittle Drive_GS project,Doolittle Drive,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.889521999999999,-118.37439500000001,43497,2019-02-01T00:00:00Z,165000,36000,Municipal General Fund,0.06 ac,40.00 ac,Not Applicable,4.27 ac-ft,3.09 ac-ft,151.267208,Beach Cities,33.889522,-118.374395,151.26720800000001,151.26720800000001
500 bk Harkness_GS project,Residential Street Rehab,Redondo Beach,Santa Monica Bay,"Green Street, Bioretention",Green street,33.859229999999997,-118.381123,44293,2021-04-07T00:00:00Z,15000,30000,Municipal General Fund,0.00 ac,1.53 ac,Not Applicable,0.09 ac-ft,0.07 ac-ft,1.686794,Beach Cities,33.85923,-118.381123,1.6867939999999999,1.6867939999999999
613 Paulina,Residential Street Rehab,Redondo Beach,Santa Monica Bay,"Green Street, Bioretention",Green street,33.852747999999998,-118.38196499999999,44293,2021-04-07T00:00:00Z,10000,30000,Municipal General Fund,0.00 ac,1.28 ac,Not Applicable,0.04 ac-ft,0.03 ac-ft,0.877763,Beach Cities,33.852748,-118.381965,0.87776299999999996,0.87776299999999996
614 Paulina,Residential Street Rehab,Redondo Beach,Santa Monica Bay,"Green Street, Bioretention",Green street,33.852840999999998,-118.381895,44293,2021-04-07T00:00:00Z,10000,30000,Municipal General Fund,0.00 ac,1.29 ac,Not Applicable,0.04 ac-ft,0.03 ac-ft,0.87908,Beach Cities,33.852841,-118.381895,0.87907999999999997,0.87907999999999997
8th Street and Monterey Blvd,Not Applicable,Hermosa Beach,Santa Monica Bay,"Green Street, Bioretention",(2) Bioretention systems,33.859616000000003,-118.397356,Not Applicable,2019-11-07T00:00:00Z,57500,8400,Not Applicable,0.00 ac,4.95 ac,Not Applicable,0.29 ac-ft,0.26 ac-ft,9.211326,Beach Cities,33.859616,-118.397356,9.2113259999999997,9.2113259999999997
8th Street and Valley Drive,Not Applicable,Hermosa Beach,Santa Monica Bay,"Green Street, Bioretention",(2) Bioretention systems,33.860168000000002,-118.394266,Not Applicable,2019-11-07T00:00:00Z,57500,8400,Not Applicable,0.00 ac,4.42 ac,Not Applicable,0.18 ac-ft,0.15 ac-ft,5.537267,Beach Cities,33.860168,-118.394266,5.5372669999999999,5.5372669999999999
Amie Basin Enhancement,Stormwater Basin Enhancement Project,Torrance,Dominguez Channel,Regional Infiltration Gallery,Detention Basin,33.845638000000001,-118.349808,42236,2015-08-20T00:00:00Z,1250000,520000,"Other State Program, Other Municipal Program",4.27 ac,400.00 ac,10.29 ac-ft,107.68 ac-ft,8.15 ac-ft,1513.479814,Beach Cities,33.845638,-118.349808,1513.479814,1513.479814
Amie Basin Expansion,Stormwater Basin Expansion Project,Torrance,Dominguez Channel,Regional Infiltration Gallery,Detention Basin Expansion,33.845638000000001,-118.349808,45293,2023-11-02T00:00:00Z,400000,133304.1,"Safe, Clean Water",4.27 ac,400.00 ac,6.00 ac-ft,89.69 ac-ft,6.00 ac-ft,142.785654,Beach Cities,33.845638,-118.349808,142.78565399999999,142.78565399999999
Entradero Basin Enhancement,Stormwater Basin Enhancement Project,Torrance,Santa Monica Bay,Regional Infiltration Gallery,Detention Basin,33.853383999999998,-118.371843,42236,2015-08-20T00:00:00Z,1900000,255000,"Other State Program, Other Municipal Program",10.00 ac,450.00 ac,2.83 ac-ft,239.56 ac-ft,2.10 ac-ft,434.730955,Beach Cities,33.853384,-118.371843,434.73095499999999,434.73095499999999
Entradero Basin Expansion,Stormwater Basin Expansion Project,Torrance,Santa Monica Bay,Regional Infiltration Gallery,Detention Basin Expansion,33.853383999999998,-118.371843,45293,2023-11-02T00:00:00Z,1800000,37653.89,"Safe, Clean Water",10.00 ac,450.00 ac,2.00 ac-ft,27.60 ac-ft,2.00 ac-ft,40.746061,Beach Cities,33.853384,-118.371843,40.746060999999997,40.746060999999997
Harkness_Armour_GS project,Residential Street Rehab,Redondo Beach,Santa Monica Bay,"Green Street, Bioretention",Green street,33.858784059999998,-118.3810967,44293,2021-04-07T00:00:00Z,24000,30000,Municipal General Fund,0.00 ac,2.41 ac,Not Applicable,0.13 ac-ft,0.11 ac-ft,2.618573,Beach Cities,33.85878406,-118.3810967,2.618573,2.618573
Henrietta Basin Enhancement,Stormwater Basin Enhancement Project,Torrance,Santa Monica Bay,Regional Infiltration Gallery,Detention Basin,33.844985999999999,-118.37183,42236,2015-08-20T00:00:00Z,1287320,255000,"Other State Program, Other Municipal Program",7.00 ac,550.00 ac,9.00 ac-ft,159.58 ac-ft,11.10 ac-ft,1749.184368,Beach Cities,33.844986,-118.37183,1749.1843679999999,1749.1843679999999
Henrietta Basin Expansion,Stormwater Basin Expansion Project,Torrance,Santa Monica Bay,Regional Infiltration Gallery,Detention Basin Expansion,33.844985999999999,-118.37183,45293,2023-11-02T00:00:00Z,1300000,20449.89,"Safe, Clean Water",7.00 ac,550.00 ac,3.07 ac-ft,32.75 ac-ft,3.07 ac-ft,95.867546,Beach Cities,33.844986,-118.37183,95.867546000000004,95.867546000000004
Lincoln EH_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.880961999999997,-118.371171,44293,2021-04-07T00:00:00Z,70000,30000,Municipal General Fund,0.01 ac,6.21 ac,Not Applicable,0.40 ac-ft,0.32 ac-ft,8.99424,Beach Cities,33.880962,-118.371171,8.9942399999999996,8.9942399999999996
Madison EH__GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.875084999999999,-118.368493,44293,2021-04-07T00:00:00Z,37000,30000,Municipal General Fund,0.01 ac,0.66 ac,Not Applicable,0.21 ac-ft,0.17 ac-ft,2.01607,Beach Cities,33.875085,-118.368493,2.01607,2.01607
Manhattan Beach Greenbelt Infiltration Project,Not Applicable,Manhattan Beach,Santa Monica Bay,Regional Infiltration Gallery,The Project utilizes the linear greenbelt parkland which runs through the City to intercept and infiltrate dry weather and wet weather low flows from existing storm drains that intersect the parkway and serve approximately 55.2 acres of fully developed residential area. The flows are pre-treated for removal of trash and gross solids before being directed via gravity to a subsurface infiltration system.,33.879899999999999,-118.4024,42184,2013-02-20T00:00:00Z,777703,134986,"CA State Proposition 84, Other Municipal Program",0.50 ac,55.20 ac,0.32 ac-ft,4.10 ac-ft,0.32 ac-ft,163.634377,Beach Cities,33.8799,-118.4024,163.634377,163.634377
Peck Reservoir Replacement Project,Not Applicable,Manhattan Beach,Santa Monica Bay,Infiltration Well,"Dual dry well system + landscaped retaining walls and earth berms landscaped with native, drought tolerant plants, shrubs and grasses along with city-friendly, colorful blooming crepe myrtle trees that will dot the edges along 19th Street and Peck Avenue. New fencing and sidewalks will provide for perimeter security and path of travel around the site.",33.891452999999998,-118.386725,Not Applicable,2024-05-31T00:00:00Z,100000,0,Other Municipal Program,0.00 ac,2.68 ac,Not Applicable,0.34 ac-ft,0.03 ac-ft,NA,Beach Cities,33.891453,-118.386725,3.0609999999999999E-3,3.0609999999999999-3
Perry Park _Slauson_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,"Green Street, Bioretention",Green street,33.869808999999997,-118.370546,44293,2021-04-07T00:00:00Z,21000,30000,Municipal General Fund,0.00 ac,0.16 ac,Not Applicable,0.11 ac-ft,0.09 ac-ft,0.488744,Beach Cities,33.869809,-118.370546,0.48874400000000001,0.48874400000000001
Torrance Circle Project,Torrance Circle Project,Redondo Beach,Santa Monica Bay,Regional Infiltration Gallery,Infiltration & Trash TMDLcapture; clean beach,33.837679999999999,-118.38878200000001,43908,2020-03-18T00:00:00Z,407000,48000,"Safe, Clean Water",0.02 ac,118.00 ac,63.50 ac-ft,64.62 ac-ft,63.50 ac-ft,271.13004,Beach Cities,33.83768,-118.388782,271.13004000000001,271.13004000000001
Foothill Project,Not Applicable,Claremont,San Jose Creek,"Green Street, Bioretention",Green street project with 7500sq/ft for bio-swales and 7 dry wells capturing both stormwater and dry-weather flows.,34.10718,-117.72606,Not Applicable,2020-07-21T00:00:00Z,8800000,132143,"Municipal General Fund, CalTrans, CA Natural Resources Agency, Other State Program",12.80 ac,75.70 ac,1.83 ac-ft,1.83 ac-ft,1.83 ac-ft,235,East san gabriel valley,34.10718,-117.72606,235 ac-ft,235
Foothill Project,Not Applicable,Claremont,Santa Ana River,"Green Street, Bioretention",Green street project with 7500sq/ft for bio-swales and 7 dry wells capturing both stormwater and dry-weather flows.,34.107100000000003,-117.71911,Not Applicable,2020-07-21T00:00:00Z,8800000,132143,"Municipal General Fund, CalTrans, CA Natural Resources Agency, Other State Program",12.80 ac,75.70 ac,1.83 ac-ft,1.83 ac-ft,1.83 ac-ft,223,East san gabriel valley,34.1071,-117.71911,223 ac-ft,223
Alamitos Beach Concession Building,Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",1 infiltration basin and 3 bioretention planters,33.764226999999998,-118.183177,Not Applicable,2022-04-30T00:00:00Z,0,10240,Municipal General Fund,0.02 ac,0.79 ac,Not Applicable,0.61 ac-ft,0.05 ac-ft,0.89347,Long Beach,33.764227,-118.183177,0.89346999999999999,0.89346999999999999
Alamitos Parking Lot Improvements,Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",5 bioretention basins.,33.765025999999999,-118.182834,Not Applicable,2016-04-30T00:00:00Z,0,10240,Municipal General Fund,0.01 ac,1.37 ac,Not Applicable,0.38 ac-ft,0.07 ac-ft,7.283424,Long Beach,33.765026,-118.182834,7.2834240000000001,7.2834240000000001
Bixby Park Bluff Improvements,Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",2 infiltration basins,33.763514000000001,-118.16834299999999,Not Applicable,2014-11-30T00:00:00Z,0,10240,Municipal General Fund,0.01 ac,2.20 ac,Not Applicable,0.51 ac-ft,0.02 ac-ft,2.47562,Long Beach,33.763514,-118.168343,2.4756200000000002,2.4756200000000002
"Colorado Lagoon Restoration Project (Phase 1A, 1B, 2B)",Not Applicable,Long Beach,Nearshore,Other (specify),Phase 1A - Construction of 600 ft bioswale between the golf course and lagoon; low-flow diversions and trash separation devices at the largest three storm drains; diversion of the remaining storm drains to the County's Termino Avenue Drain Project; cleaning of the culvert connection between the lagoon and Marine Stadium. Completed November 2010. Phase 1B - Dredging and removal of sediment at the western arm of the lagoon. Completed August 2012. Phase 2B - Dredging contaminated sediment in the central area and replacing it with uncontaminated sediment; creation of new subtidal and intertidal habitat and planting eelgrass; revegetation with California native plants. Completed May 2017.,33.770111,-118.13411499999999,Not Applicable,2017-05-31T00:00:00Z,19120000,0,"Other State Program, Other Federal Program, Other Municipal Program",18.00 ac,"1,172.00 ac",Not Applicable,141.19 ac-ft,0.00 ac-ft,0,Long Beach,33.770111,-118.134115,0,0
Granada Parking Lot Improvements,Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",10 bioretention basins.,33.757798999999999,-118.14355500000001,Not Applicable,2018-01-30T00:00:00Z,0,0,Municipal General Fund,0.11 ac,6.30 ac,Not Applicable,9.35 ac-ft,0.60 ac-ft,29.516273,Long Beach,33.757799,-118.143555,29.516273000000002,29.516273000000002
Jr Lifeguard Facility,Not Applicable,Long Beach,Nearshore,Infiltration Well,1 drywell,33.752800000000001,-118.1343,Not Applicable,2023-06-30T00:00:00Z,2780000,0,Other Municipal Program,0.03 ac,0.04 ac,Not Applicable,6.50 ac-ft,0.00 ac-ft,NA,Long Beach,33.7528,-118.1343,1.6889999999999999E-2,1.6889999999999999-2
Junipero Beach Concession Building (Phase 1),Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",3 infiltration trenches,33.762746,-118.163635,Not Applicable,2019-10-30T00:00:00Z,0,10240,Municipal General Fund,0.00 ac,0.25 ac,Not Applicable,0.32 ac-ft,0.01 ac-ft,0.641757,Long Beach,33.762746,-118.163635,0.64175700000000002,0.64175700000000002
Junipero Beach-Phase 2 & Granada Beach Concession,Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",13 infiltration trenches,33.762278999999999,-118.16307999999999,Not Applicable,2021-05-19T00:00:00Z,0,10240,Municipal General Fund,0.01 ac,0.50 ac,Not Applicable,0.82 ac-ft,0.02 ac-ft,0.800602,Long Beach,33.762279,-118.16308,0.80060200000000004,0.80060200000000004
Junipero Parking Lot Improvements,Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",3 bioretention basins,33.762568999999999,-118.16488200000001,Not Applicable,2015-07-30T00:00:00Z,0,10240,Municipal General Fund,0.02 ac,3.44 ac,Not Applicable,1.82 ac-ft,0.19 ac-ft,21.12136,Long Beach,33.762569,-118.164882,21.121359999999999,21.121359999999999
Marine Park Parking Lot,Not Applicable,Long Beach,Nearshore,"LID Retrofit, Bioretention",6 bioretention basins.,33.757598999999999,-118.11997,Not Applicable,2014-06-30T00:00:00Z,0,10240,Municipal General Fund,0.06 ac,1.38 ac,Not Applicable,0.51 ac-ft,0.07 ac-ft,6.917549,Long Beach,33.757599,-118.11997,6.9175490000000002,6.9175490000000002
Arterial Street Resurfacing on Downey Ave #1,Not Applicable,Paramount,Los Cerritos Channel,Infiltration Well,MaxWell Plus Drywell unit,33.887567330000003,-118.1514914,Not Applicable,2021-01-01T00:00:00Z,0,0,Municipal General Fund,0.10 ac,0.10 ac,Not Applicable,1.26 ac-ft,0.01 ac-ft,0.206748,Los Cerritos Channel,33.88756733,-118.1514914,0.20674799999999999,0.20674799999999999
Arterial Street Resurfacing on Downey Ave #2,Not Applicable,Paramount,Los Cerritos Channel,Infiltration Well,MaxWell Plus Drywell unit,33.883679999999998,-118.151758,Not Applicable,2021-01-01T00:00:00Z,0,0,Municipal General Fund,0.10 ac,0.10 ac,Not Applicable,1.26 ac-ft,0.01 ac-ft,0.206748,Los Cerritos Channel,33.88368,-118.151758,0.20674799999999999,0.20674799999999999
Arterial Street Resurfacing on Downey Ave and Madison St #1,Not Applicable,Paramount,Los Cerritos Channel,Infiltration Well,MaxWell Plus Drywell unit,33.891041999999999,-118.152958,Not Applicable,2023-01-01T00:00:00Z,84000,1500,Municipal General Fund,0.46 ac,0.46 ac,Not Applicable,5.58 ac-ft,0.01 ac-ft,0.16804,Los Cerritos Channel,33.891042,-118.152958,0.16803999999999999,0.16803999999999999
Arterial Street Resurfacing on Downey Ave and Madison St #2,Not Applicable,Paramount,Los Cerritos Channel,Infiltration Well,MaxWell Plus Drywell unit,33.891196999999998,-118.152828,Not Applicable,2023-01-01T00:00:00Z,84000,1500,Municipal General Fund,1.64 ac,1.64 ac,Not Applicable,19.85 ac-ft,0.01 ac-ft,0.249877,Los Cerritos Channel,33.891197,-118.152828,0.24987699999999999,0.24987699999999999
Arterial Street Resurfacing on Downey Boulevard,Not Applicable,Paramount,Los Cerritos Channel,Infiltration Well,MaxWell Plus Drywell unit,33.887566999999997,-118.15149099999999,Not Applicable,2021-01-01T00:00:00Z,0,0,Municipal General Fund,0.00 ac,0.10 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0,Los Cerritos Channel,33.887567,-118.151491,0,0
"Bellflower Caruthers Park SW and Urban Runoff Capture Project, LCC WMP",Not Applicable,Bellflower,Los Cerritos Channel,Regional Infiltration Gallery,"The project diverts flow from two Los Angeles County Flood Control facilities and diverts flows to 2 pretreatment devices. The pretreated water is then gravity fed into an underground infiltration reservoir, where water is stored for both infiltration and on-site irrigation use. A two-step treatment system filters and sanitizes the water used for on-site irrigation while excess water will infiltrate through the unlined portion of the reservoir.",33.878452000000003,-118.111056,44651,2023-03-31T00:00:00Z,4160000,72474.37,CalTrans,0.34 ac,261.00 ac,0.73 ac-ft,4.08 ac-ft,2.91 ac-ft,25.116951,Los Cerritos Channel,33.878452,-118.111056,25.116951,25.116951
Bolivar Park Stormwater Management Project,Not Applicable,Lakewood,Los Cerritos Channel,Regional Infiltration Gallery,Subsurface infiltration gallery,33.846086999999997,-118.152593,Not Applicable,2018-05-02T00:00:00Z,11000000,694154.53,Not Applicable,0.00 ac,"3,018.00 ac",Not Applicable,48.53 ac-ft,8.93 ac-ft,0,Los Cerritos Channel,33.846087,-118.152593,0,0
Del Amo Blvd. at Lakewood Blvd.,Not Applicable,Lakewood,Los Cerritos Channel,"Green Street, Biofiltration",2 biofiltration planters,33.847045000000001,-118.140328,Not Applicable,2021-07-01T00:00:00Z,300000,10000,Not Applicable,0.00 ac,5.00 ac,Not Applicable,0.34 ac-ft,0.34 ac-ft,1.525281,Los Cerritos Channel,33.847045,-118.140328,1.5252810000000001,1.5252810000000001
El Dorado Duck Pond Restoration Project,Not Applicable,Long Beach,Los Cerritos Channel,"LID Retrofit, Harvest and Reuse","Improved water quality, ecological function and habitat of the El Dorado Duck Pond by restoring the pond liner, enlarging the wetlands and forebay, constructing a new pump house for pond recirculation, constructing a treatment system for irrigation use of captured water, removing invasive species, and planting new California native landscaping.",33.800441769999999,-118.0966038,Not Applicable,2024-06-17T00:00:00Z,9000000,0,"Safe, Clean Water, Municipal General Fund, Other Federal Program, Other Municipal Program",4.03 ac,50.60 ac,Not Applicable,41.02 ac-ft,2.75 ac-ft,NA,Los Cerritos Channel,33.80044177,-118.0966038,9.7833000000000003E-2,9.7833000000000003-2
LCC Sub-Basin 4 Stormwater Capture Facility,Not Applicable,"Long Beach, Signal Hill",Los Cerritos Channel,Regional Infiltration Gallery,Subsurface infiltration systems,33.813749000000001,-118.141306,Not Applicable,2020-09-01T00:00:00Z,0,32000,"CalTrans, Other Municipal Program",2.39 ac,"1,925.00 ac",Not Applicable,44.86 ac-ft,31.00 ac-ft,1347.89591,Los Cerritos Channel,33.813749,-118.141306,1347.89591,1347.89591
Paramount Blvd Green Street Project,Not Applicable,Lakewood,Los Cerritos Channel,"Green Street, Bioretention",(48) bio-infiltration basins and (4) drywells,33.834983000000001,-118.159868,Not Applicable,2020-05-13T00:00:00Z,2050000,121881.48,Not Applicable,0.00 ac,20.02 ac,Not Applicable,1.14 ac-ft,1.14 ac-ft,0,Los Cerritos Channel,33.834983,-118.159868,0,0
Paramount Boulevard Urban Renovation Project,Not Applicable,Paramount,Los Cerritos Channel,"Green Street, Bioretention",bioretention,33.887225999999998,-118.160014,Not Applicable,2017-01-02T00:00:00Z,0,0,Municipal General Fund,0.00 ac,0.50 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0,Los Cerritos Channel,33.887226,-118.160014,0,0
Proposition 84 #1,Not Applicable,Signal Hill,Los Cerritos Channel,"Green Street, Biofiltration",(1) Tree well,33.808073999999998,-118.16337799999999,Not Applicable,2017-06-30T00:00:00Z,55375,2302,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.19 ac-ft,0.17 ac-ft,4.303072,Los Cerritos Channel,33.808074,-118.163378,4.3030720000000002,4.3030720000000002
Proposition 84 #2,Not Applicable,Signal Hill,Los Cerritos Channel,"Green Street, Biofiltration",(1) Tree well,33.808,-118.163381,Not Applicable,2017-06-30T00:00:00Z,55375,2302,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.19 ac-ft,0.17 ac-ft,4.303072,Los Cerritos Channel,33.808,-118.163381,4.3030720000000002,4.3030720000000002
